created_utc,order
2020-01-01 08:47:58,31678
2020-01-01 09:08:36,32916
2020-01-02 07:38:55,113935
2020-01-02 08:02:50,115370
2020-01-03 06:53:56,197636
2020-01-03 06:58:09,197889
2020-01-03 08:53:11,204791
2020-01-03 11:53:03,215583
2020-01-03 15:42:08,229328
2020-01-04 05:43:02,279782
2020-01-04 07:18:42,285522
2020-01-06 10:01:08,468068
2020-01-06 10:32:03,469923
2020-01-06 16:30:17,491417
2020-01-08 12:55:51,651351
2020-01-08 15:08:51,659331
2020-01-09 14:52:27,744747
2020-01-10 13:58:46,827926
2020-01-11 09:14:38,897278
2020-01-12 06:03:53,972233
2020-01-13 02:40:04,1046404
2020-01-13 06:11:58,1059118
2020-01-13 08:56:17,1068977
2020-01-13 11:32:54,1078374
2020-01-13 11:53:03,1079583
2020-01-13 12:39:46,1082386
2020-01-13 17:02:43,1098163
2020-01-15 09:50:09,1245009
2020-01-15 10:37:29,1247849
2020-01-15 12:24:07,1254247
2020-01-15 15:52:56,1266776
2020-01-16 13:51:30,1345890
2020-01-16 14:03:51,1346631
2020-01-16 16:31:59,1355519
2020-01-16 19:30:42,1366242
2020-01-17 08:30:28,1413028
2020-01-17 11:33:51,1424031
2020-01-17 11:33:51,1424031
2020-01-17 11:33:51,1424031
2020-01-19 09:25:22,1589122
2020-01-19 10:47:36,1594056
2020-01-19 16:59:15,1616355
2020-01-20 07:27:57,1668477
2020-01-20 14:25:45,1693545
2020-01-20 16:26:04,1700764
2020-01-20 16:43:08,1701788
2020-01-20 21:48:11,1720091
2020-01-20 21:55:05,1720505
2020-01-22 03:17:23,1826243
2020-01-22 08:15:15,1844115
2020-01-22 10:02:53,1850573
2020-01-22 10:55:22,1853722
2020-01-22 11:17:55,1855075
2020-01-22 11:53:48,1857228
2020-01-22 12:08:03,1858083
2020-01-22 12:19:14,1858754
2020-01-22 14:55:25,1868125
2020-01-22 17:17:58,1876678
2020-01-22 17:25:44,1877144
2020-01-22 19:36:34,1884994
2020-01-22 19:36:34,1884994
2020-01-22 19:58:25,1886305
2020-01-23 10:19:59,1937999
2020-01-23 10:31:05,1938665
2020-01-23 10:32:32,1938752
2020-01-23 11:12:37,1941157
2020-01-23 11:17:52,1941472
2020-01-23 11:34:32,1942472
2020-01-23 15:02:40,1954960
2020-01-23 15:02:40,1954960
2020-01-23 15:02:40,1954960
2020-01-23 21:58:13,1979893
2020-01-24 13:43:22,2036602
2020-01-24 15:56:08,2044568
2020-01-26 13:10:53,2207453
2020-01-27 09:59:12,2282352
2020-01-27 11:10:49,2286649
2020-01-29 11:04:25,2459065
2020-01-29 14:04:32,2469872
2020-01-29 14:31:35,2471495
2020-01-30 08:43:21,2537001
2020-01-30 13:56:35,2555795
2020-01-31 16:02:27,2649747
2020-02-03 12:23:46,2895826
2020-02-05 06:52:00,3048720
2020-02-05 07:11:31,3049891
2020-02-05 07:27:26,3050846
2020-02-05 07:52:07,3052327
2020-02-06 07:49:56,3138596
2020-02-06 08:08:43,3139723
2020-02-06 09:52:09,3145929
2020-02-06 11:23:12,3151392
2020-02-06 12:32:03,3155523
2020-02-06 13:04:40,3157480
2020-02-06 14:25:23,3162323
2020-02-06 14:40:34,3163234
2020-02-06 14:58:57,3164337
2020-02-06 16:57:07,3171427
2020-02-06 17:09:42,3172182
2020-02-06 17:22:07,3172927
2020-02-07 07:45:27,3224727
2020-02-07 08:26:55,3227215
2020-02-07 10:48:37,3235717
2020-02-07 11:08:36,3236916
2020-02-07 12:14:11,3240851
2020-02-07 13:25:56,3245156
2020-02-07 13:45:48,3246348
2020-02-07 14:02:32,3247352
2020-02-07 15:01:45,3250905
2020-02-09 07:22:19,3396139
2020-02-09 13:22:39,3417759
2020-02-10 06:59:07,3481147
2020-02-10 10:06:31,3492391
2020-02-10 10:26:12,3493572
2020-02-10 10:33:04,3493984
2020-02-10 10:59:28,3495568
2020-02-10 19:29:07,3526147
2020-02-12 11:02:55,3668575
2020-02-12 16:05:31,3686731
2020-02-12 16:07:39,3686859
2020-02-12 16:11:16,3687076
2020-02-12 20:22:01,3702121
2020-02-13 15:08:09,3769689
2020-02-13 15:19:14,3770354
2020-02-13 17:06:48,3776808
2020-02-14 15:58:27,3859107
2020-02-16 08:54:39,4006479
2020-02-17 08:50:54,4092654
2020-02-17 10:37:33,4099053
2020-02-17 12:39:42,4106382
2020-02-17 13:37:53,4109873
2020-02-17 15:09:52,4115392
2020-02-17 23:18:40,4144720
2020-02-17 23:26:24,4145184
2020-02-19 06:40:32,4257632
2020-02-19 06:40:32,4257632
2020-02-19 11:44:36,4275876
2020-02-19 11:55:29,4276529
2020-02-19 12:03:52,4277032
2020-02-19 12:50:43,4279843
2020-02-19 13:05:51,4280751
2020-02-19 13:08:49,4280929
2020-02-19 14:53:03,4287183
2020-02-20 07:02:48,4345368
2020-02-20 08:15:52,4349752
2020-02-20 08:31:40,4350700
2020-02-20 08:45:31,4351531
2020-02-20 08:52:10,4351930
2020-02-20 11:08:05,4360085
2020-02-20 13:10:27,4367427
2020-02-20 17:07:25,4381645
2020-02-20 22:29:58,4400998
2020-02-21 06:44:52,4430692
2020-02-21 06:46:09,4430769
2020-02-21 11:22:08,4447328
2020-02-21 13:26:23,4454783
2020-02-21 15:35:34,4462534
2020-02-22 18:31:02,4559462
2020-02-22 18:31:02,4559462
2020-02-22 19:49:43,4564183
2020-02-23 07:54:23,4607663
2020-02-23 22:19:24,4659564
2020-02-24 10:22:51,4702971
2020-02-24 12:10:56,4709456
2020-02-24 12:59:54,4712394
2020-02-24 15:36:53,4721813
2020-02-26 07:02:59,4863779
2020-02-26 08:03:26,4867406
2020-02-26 08:09:49,4867789
2020-02-26 08:11:11,4867871
2020-02-26 09:44:31,4873471
2020-02-27 09:53:18,4960398
2020-02-27 10:05:59,4961159
2020-02-27 10:32:09,4962729
2020-02-27 10:54:26,4964066
2020-02-27 10:55:40,4964140
2020-02-27 12:47:17,4970837
2020-02-27 14:14:01,4976041
2020-02-27 15:32:31,4980751
2020-02-28 11:04:29,5051069
2020-02-28 12:14:00,5055240
2020-02-28 12:55:54,5057754
2020-02-28 13:20:15,5059215
2020-02-28 13:44:37,5060677
2020-02-28 14:49:56,5064596
2020-02-29 13:17:01,5145421
2020-03-02 10:07:29,5306849
2020-03-02 13:29:22,5318962
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:05:39,5454339
2020-03-04 03:08:02,5454482
2020-03-04 03:08:02,5454482
2020-03-04 03:08:17,5454497
2020-03-04 03:09:27,5454567
2020-03-04 03:09:27,5454567
2020-03-04 03:09:38,5454578
2020-03-04 03:09:38,5454578
2020-03-04 03:09:38,5454578
2020-03-04 03:09:38,5454578
2020-03-04 06:44:31,5467471
2020-03-04 08:47:18,5474838
2020-03-04 10:51:25,5482285
2020-03-04 19:07:30,5512050
2020-03-05 09:02:39,5562159
2020-03-05 09:07:19,5562439
2020-03-05 10:59:02,5569142
2020-03-05 14:48:37,5582917
2020-03-05 15:03:58,5583838
2020-03-06 08:50:56,5647856
2020-03-06 09:04:21,5648661
2020-03-06 09:52:46,5651566
2020-03-06 10:53:53,5655233
2020-03-06 15:18:29,5671109
2020-03-06 20:53:52,5691232
2020-03-09 09:20:49,5908849
2020-03-09 21:37:14,5953034
2020-03-11 06:56:48,6073008
2020-03-11 08:56:28,6080188
2020-03-11 10:20:58,6085258
2020-03-12 09:37:06,6169026
2020-03-13 09:27:08,6254828
2020-03-13 09:55:04,6256504
2020-03-13 10:08:44,6257324
2020-03-15 14:21:08,6445268
2020-03-15 14:21:08,6445268
2020-03-15 14:21:08,6445268
2020-03-15 14:28:28,6445708
2020-03-15 16:34:53,6453293
2020-03-16 09:28:57,6514137
2020-03-16 10:17:28,6517048
2020-03-16 10:35:52,6518152
2020-03-16 10:52:45,6519165
2020-03-16 10:53:14,6519194
2020-03-16 11:29:15,6521355
2020-03-16 11:34:18,6521658
2020-03-16 12:32:05,6525125
2020-03-18 08:38:05,6683885
2020-03-18 15:35:35,6708935
2020-03-20 11:11:40,6865900
2020-03-20 13:49:49,6875389
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:14:18,7118058
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 09:33:51,7119231
2020-03-23 11:05:29,7124729
2020-03-25 06:30:26,7281026
2020-03-26 09:55:18,7379718
2020-03-26 11:48:42,7386522
2020-03-26 17:38:31,7407511
2020-03-27 10:16:24,7467384
2020-03-27 15:44:55,7487095
2020-03-29 11:58:15,7646295
2020-03-30 19:22:57,7759377
2020-04-01 09:41:14,7897274
2020-04-01 12:51:03,7908663
2020-04-02 08:05:10,7977910
2020-04-02 13:56:58,7999018
2020-04-03 16:48:33,8095713
2020-04-06 06:11:02,8316662
2020-04-06 06:11:02,8316662
2020-04-06 18:45:08,8361908
2020-04-06 21:53:02,8373182
2020-04-08 08:21:21,8497281
2020-04-08 12:30:24,8512224
2020-04-08 12:42:02,8512922
2020-04-09 04:47:48,8570868
2020-04-09 14:14:15,8604855
2020-04-12 21:20:56,8889656
2020-04-12 22:21:43,8893303
2020-04-13 06:29:25,8922565
2020-04-13 16:22:23,8958143
2020-04-13 16:44:04,8959444
2020-04-15 13:24:40,9120280
2020-04-15 19:05:06,9140706
2020-04-15 21:20:28,9148828
2020-04-16 08:26:59,9188819
2020-04-16 12:21:36,9202896
2020-04-17 12:25:24,9289524
2020-04-19 00:18:23,9418703
2020-04-19 08:37:59,9448679
2020-04-19 09:23:36,9451416
2020-04-19 22:06:14,9497174
2020-04-20 07:19:02,9530342
2020-04-20 11:42:18,9546138
2020-04-20 14:42:26,9556946
2020-04-22 08:32:34,9707554
2020-04-22 10:58:25,9716305
2020-04-23 05:32:42,9783162
2020-04-26 16:07:57,10080477
2020-04-27 07:54:35,10137275
2020-04-27 10:39:25,10147165
2020-04-27 14:55:44,10162544
