created_utc,order
2019-01-01 20:32:32,73952
2019-01-02 10:39:48,124788
2019-01-02 11:31:10,127870
2019-01-02 18:18:55,152335
2019-01-02 18:18:55,152335
2019-01-03 10:06:28,209188
2019-01-03 11:23:12,213792
2019-01-08 04:26:29,620789
2019-01-08 11:28:20,646100
2019-01-08 11:59:26,647966
2019-01-09 08:30:47,721847
2019-01-09 12:12:34,735154
2019-01-09 12:52:36,737556
2019-01-09 14:27:17,743237
2019-01-09 14:58:00,745080
2019-01-09 15:45:53,747953
2019-01-09 15:56:19,748579
2019-01-10 06:41:57,801717
2019-01-10 08:42:39,808959
2019-01-10 11:51:15,820275
2019-01-15 08:43:04,1240984
2019-01-15 08:48:23,1241303
2019-01-15 08:48:23,1241303
2019-01-15 14:14:19,1260859
2019-01-15 20:46:58,1284418
2019-01-15 20:46:58,1284418
2019-01-17 09:05:56,1415156
2019-01-17 09:50:56,1417856
2019-01-17 11:09:29,1422569
2019-01-17 12:06:39,1425999
2019-01-17 13:37:59,1431479
2019-01-17 13:48:47,1432127
2019-01-17 20:15:14,1455314
2019-01-18 01:20:50,1473650
2019-01-18 01:28:58,1474138
2019-01-18 04:37:02,1485422
2019-01-18 05:04:24,1487064
2019-01-18 05:07:25,1487245
2019-01-18 05:58:33,1490313
2019-01-18 09:15:01,1502101
2019-01-18 15:51:25,1525885
2019-01-19 11:29:27,1596567
2019-01-20 09:30:36,1675836
2019-01-22 10:03:43,1850623
2019-01-22 13:09:04,1861744
2019-01-22 13:40:17,1863617
2019-01-22 14:59:16,1868356
2019-01-22 15:17:16,1869436
2019-01-22 16:15:12,1872912
2019-01-23 03:35:03,1913703
2019-01-23 08:25:19,1931119
2019-01-23 08:57:34,1933054
2019-01-23 09:01:53,1933313
2019-01-23 10:07:32,1937252
2019-01-23 12:58:24,1947504
2019-01-23 16:01:23,1958483
2019-01-23 16:22:39,1959759
2019-01-23 16:37:03,1960623
2019-01-24 08:47:31,2018851
2019-01-24 09:01:35,2019695
2019-01-24 09:27:59,2021279
2019-01-24 09:59:07,2023147
2019-01-25 01:50:03,2080203
2019-01-25 09:58:06,2109486
2019-01-25 10:17:09,2110629
2019-01-25 15:59:35,2131175
2019-01-27 06:44:58,2270698
2019-01-29 09:40:29,2454029
2019-01-29 09:49:07,2454547
2019-01-29 11:04:33,2459073
2019-01-29 11:39:41,2461181
2019-01-29 22:17:02,2499422
2019-01-30 11:56:10,2548570
2019-01-31 08:17:25,2621845
2019-01-31 15:17:08,2647028
2019-01-31 15:19:08,2647148
2019-02-03 13:57:08,2901428
2019-02-05 11:17:49,3064669
2019-02-05 13:08:13,3071293
2019-02-05 14:54:10,3077650
2019-02-06 09:32:34,3144754
2019-02-06 09:32:34,3144754
2019-02-06 10:06:37,3146797
2019-02-07 12:30:07,3241807
2019-02-07 22:50:12,3279012
2019-02-08 13:46:42,3332802
2019-02-10 19:51:48,3527508
2019-02-10 19:59:16,3527956
2019-02-12 09:35:14,3663314
2019-02-12 09:35:52,3663352
2019-02-12 11:21:41,3669701
2019-02-12 11:49:18,3671358
2019-02-13 06:06:17,3737177
2019-02-13 10:14:28,3752068
2019-02-13 10:30:30,3753030
2019-02-14 15:57:32,3859052
2019-02-15 10:44:31,3926671
2019-02-15 12:15:49,3932149
2019-02-15 12:40:24,3933624
2019-02-15 13:43:58,3937438
2019-02-15 14:15:07,3939307
2019-02-15 15:26:55,3943615
2019-02-15 15:34:33,3944073
2019-02-15 15:46:08,3944768
2019-02-15 15:50:30,3945030
2019-02-15 15:59:55,3945595
2019-02-15 16:56:13,3948973
2019-02-17 19:45:13,4131913
2019-02-19 09:18:01,4267081
2019-02-19 09:53:32,4269212
2019-02-19 10:52:19,4272739
2019-02-19 13:28:00,4282080
2019-02-19 13:28:00,4282080
2019-02-19 13:28:42,4282122
2019-02-19 14:04:45,4284285
2019-02-19 15:40:11,4290011
2019-02-20 14:50:37,4373437
2019-02-21 06:43:33,4430613
2019-02-21 09:00:14,4438814
2019-02-21 09:54:22,4442062
2019-02-21 09:56:46,4442206
2019-02-21 10:07:56,4442876
2019-02-21 10:09:34,4442974
2019-02-21 10:33:04,4444384
2019-02-21 11:06:45,4446405
2019-02-21 15:45:18,4463118
2019-02-21 16:10:27,4464627
2019-02-21 23:47:40,4492060
2019-02-26 10:39:38,4876778
2019-02-26 10:40:58,4876858
2019-02-26 10:41:41,4876901
2019-02-26 11:36:09,4880169
2019-02-26 11:36:57,4880217
2019-02-26 14:35:07,4890907
2019-02-26 15:25:35,4893935
2019-02-26 15:30:31,4894231
2019-02-27 12:35:40,4970140
2019-02-27 12:42:38,4970558
2019-02-27 14:57:33,4978653
2019-02-27 16:17:33,4983453
2019-02-27 16:37:46,4984666
2019-02-27 16:59:29,4985969
2019-02-27 23:15:25,5008525
2019-02-28 08:52:07,5043127
2019-02-28 16:02:35,5068955
2019-02-28 16:50:17,5071817
2019-02-28 16:52:36,5071956
2019-02-28 17:32:23,5074343
2019-02-28 20:21:28,5084488
2019-02-28 20:54:25,5086465
2019-03-01 08:55:44,5129744
2019-03-01 10:31:05,5135465
2019-03-01 11:10:34,5137834
2019-03-01 12:15:24,5141724
2019-03-01 13:56:55,5147815
2019-03-05 11:31:09,5484669
2019-03-05 11:36:08,5484968
2019-03-05 14:09:15,5494155
